Category,sub-category,Type,Fit,Material,Pattern,Season,Style,Occasion,Body Type Suitability,Neckline,Apparel
1,12,89,15,7,38,2,18,31,4,46,1
1,12,47,49,7,38,1,7,6,4,46,1
1,12,76,50,7,38,1,7,6,4,46,1
1,12,74,48,7,38,1,4,19,4,46,1
1,12,111,49,7,38,2,7,6,4,46,1
1,12,140,2,7,38,2,7,6,4,46,1
1,8,126,40,36,38,1,7,3,4,46,1
1,8,135,51,7,38,1,4,1,12,46,1
1,8,46,17,49,38,1,15,19,12,46,1
1,8,54,40,9,38,2,18,9,4,46,1
1,1,26,39,7,38,1,7,3,4,46,1
1,1,32,40,7,38,1,7,31,4,46,1
1,1,56,39,7,38,1,7,3,4,46,1
1,1,137,51,19,38,1,7,1,12,46,1
1,1,35,39,10,38,1,7,3,4,46,1
1,1,31,51,7,38,1,7,6,8,46,1
1,13,117,44,32,38,2,3,12,4,34,3
1,13,129,26,7,38,2,7,12,4,34,3
1,13,124,35,32,38,2,7,12,4,8,1
1,13,121,10,27,38,2,3,12,4,15,1
1,13,122,26,32,38,2,3,12,4,12,1
1,13,120,14,27,38,0,3,18,4,50,3
1,13,119,34,7,38,0,3,12,4,18,3
1,13,123,14,32,38,2,3,27,4,12,1
1,13,118,14,32,38,2,3,27,4,31,0
0,14,110,33,50,38,2,18,2,11,22,0
0,14,110,9,50,38,2,18,2,11,22,0
0,14,39,33,50,38,0,18,23,2,25,0
0,14,39,9,50,38,0,18,23,2,25,0
0,14,133,33,50,38,3,18,23,11,36,0
0,14,133,9,50,38,3,18,23,11,36,0
0,14,38,33,47,38,3,18,23,11,36,2
0,14,38,9,47,38,3,18,23,11,36,2
0,14,9,33,7,38,1,7,3,11,22,2
0,14,9,9,7,38,1,7,3,11,22,2
0,4,65,33,18,38,0,9,3,1,23,2
0,4,131,33,7,38,0,9,9,1,23,2
0,4,49,33,7,38,0,7,5,1,6,2
1,2,1,18,7,38,1,7,6,4,33,0
1,2,107,41,19,38,1,7,6,4,32,0
1,2,139,8,16,38,2,7,6,4,47,0
1,2,105,3,50,38,0,18,16,4,3,0
1,2,73,24,5,38,1,7,1,12,47,0
1,2,12,42,41,38,2,22,15,4,40,0
1,2,109,7,10,39,1,7,6,4,6,0
1,2,90,19,35,38,2,18,19,4,44,0
1,2,61,30,32,38,2,7,19,4,47,0
1,3,100,46,7,12,2,34,3,4,47,0
1,17,10,39,38,38,2,7,31,4,47,3
1,17,108,29,7,6,2,7,31,4,5,3
1,17,40,13,7,38,2,7,19,4,47,0
1,17,113,31,10,38,2,7,31,7,15,1
1,17,59,4,10,38,2,7,5,4,21,1
1,17,59,6,10,38,2,7,5,4,21,1
1,17,67,22,41,38,2,7,12,4,12,1
1,0,61,34,7,38,2,7,19,4,47,0
